"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"x_min[15]",-22.6,0.02,1.08,-24.8,-23.32,-22.59,-21.84,-20.58,2306.81,1
"x_min[16]",-22.78,0.02,1.1,-24.99,-23.54,-22.77,-22.02,-20.63,2616.81,1
"x_min[17]",-22.73,0.02,1.11,-24.97,-23.47,-22.7,-21.97,-20.59,2246.28,1
"x_min[18]",-22.54,0.02,1.12,-24.77,-23.29,-22.53,-21.78,-20.42,2244.98,1
"x_min[19]",-22.78,0.02,1.08,-24.97,-23.52,-22.76,-22.01,-20.72,2290.78,1
"x_min[20]",-22.41,0.02,1.13,-24.65,-23.17,-22.38,-21.62,-20.3,2065.77,1
"x_min[21]",-22.67,0.02,1.09,-24.86,-23.39,-22.65,-21.92,-20.59,2677.66,1
"x_min[22]",-22.94,0.02,1.11,-25.12,-23.68,-22.94,-22.2,-20.77,2566.72,1
"x_min[23]",-22.96,0.02,1.08,-25.11,-23.68,-22.95,-22.22,-20.86,2514.9,1
"x_min[24]",-22.57,0.02,1.08,-24.71,-23.29,-22.56,-21.83,-20.48,2359.3,1
"x_min[25]",-22.65,0.02,1.11,-24.87,-23.37,-22.64,-21.88,-20.53,2204.05,1
"x_min[26]",-22.94,0.02,1.07,-25.11,-23.65,-22.91,-22.21,-20.93,2442.02,1
"x_min[27]",-22.88,0.02,1.09,-25.08,-23.6,-22.85,-22.13,-20.79,2438.02,1
"x_min[28]",-22.64,0.02,1.1,-24.83,-23.38,-22.62,-21.87,-20.59,2464.63,1
"x_min[29]",-22.77,0.02,1.08,-24.93,-23.49,-22.75,-22.03,-20.71,2200.64,1
"x_min[30]",-22.75,0.02,1.13,-24.97,-23.52,-22.74,-21.98,-20.54,2403.01,1
"x_min[31]",-22.73,0.02,1.08,-24.91,-23.45,-22.7,-21.97,-20.7,2262.76,1
"x_max[1]",18.36,0.01,0.82,17.08,17.75,18.27,18.87,20.18,6566.39,1
"x_max[2]",19.06,0.01,0.86,17.49,18.45,19.02,19.61,20.81,6921.14,1
"x_max[3]",18.63,0.01,0.88,16.92,18.05,18.63,19.22,20.36,7053.69,1
"x_max[4]",18.24,0.01,0.79,16.95,17.66,18.17,18.74,19.93,5120.12,1
"x_max[5]",18.52,0.01,0.91,16.86,17.88,18.48,19.11,20.36,6824.54,1
"x_max[6]",18.47,0.01,0.96,16.63,17.82,18.43,19.11,20.39,6649.08,1
"x_max[7]",18.19,0.01,0.84,16.8,17.58,18.11,18.71,19.98,5803.31,1
"x_max[8]",18.84,0.01,0.81,17.51,18.24,18.76,19.36,20.58,7364.47,1
"x_max[9]",19.03,0.01,0.82,17.52,18.44,19,19.57,20.72,5553.68,1
"x_max[10]",19.25,0.01,0.83,17.76,18.67,19.22,19.78,20.97,6774.04,1
"x_max[11]",18.42,0.01,0.86,16.9,17.82,18.39,18.98,20.17,6033.9,1
"x_max[12]",19.07,0.01,0.83,17.64,18.47,19.01,19.63,20.8,7509.79,1
"x_max[13]",18.22,0.01,0.87,16.87,17.56,18.11,18.77,20.14,7982.85,1
"x_max[14]",19.55,0.01,0.83,18.05,18.95,19.51,20.1,21.29,7905.01,1
"x_max[15]",18.47,0.01,0.99,16.59,17.78,18.45,19.14,20.43,6991.42,1
"x_max[16]",18.41,0.01,0.95,16.57,17.76,18.41,19.05,20.29,6827.99,1
"x_max[17]",18.34,0.01,0.91,16.68,17.7,18.29,18.95,20.2,5611.02,1
"x_max[18]",18.56,0.01,0.94,16.71,17.95,18.57,19.19,20.39,6638.83,1
"x_max[19]",18.67,0.01,0.85,17.19,18.07,18.61,19.22,20.47,5707.59,1
"x_max[20]",18.21,0.01,0.96,16.39,17.55,18.18,18.84,20.15,7630.94,1
"x_max[21]",18.28,0.01,0.97,16.36,17.65,18.29,18.92,20.22,7309.22,1
"x_max[22]",18.16,0.01,0.9,16.66,17.51,18.06,18.73,20.1,6165.15,1
"x_max[23]",18.22,0.01,0.92,16.54,17.58,18.18,18.82,20.13,6585.04,1
"x_max[24]",18.68,0.01,0.87,17.04,18.09,18.65,19.24,20.48,7163.97,1
"x_max[25]",17.95,0.01,0.87,16.53,17.31,17.85,18.5,19.87,5832.09,1
"x_max[26]",17.97,0.01,0.92,16.29,17.32,17.91,18.58,19.86,6193.98,1
"x_max[27]",18.88,0.01,0.89,17.23,18.25,18.86,19.46,20.69,6468.43,1
"x_max[28]",19.15,0.01,0.85,17.63,18.54,19.09,19.71,20.93,6395.5,1
"x_max[29]",19.08,0.01,0.87,17.44,18.47,19.07,19.66,20.82,6898.41,1
"x_max[30]",18.72,0.01,0.85,17.27,18.1,18.66,19.28,20.5,6985.6,1
"x_max[31]",19.46,0.01,0.82,18.03,18.87,19.4,19.99,21.18,7298.71,1
"lp__",-219.48,0.38,12.67,-245.43,-227.77,-219.21,-210.89,-194.98,1087.19,1
